Days,DIV,Bought,Qty,Profit
91,SELL,41195,106,1060
91,BUY,41210,107,0
91,SELL,41705,107,54025
91,BUY,41695,106,0
92,SELL,41705,106,1060
92,BUY,41720,107,0
93,SELL,41730,107,1070
93,BUY,41740,107,0
93,SELL,42245,107,55105
93,BUY,42240,106,0
94,SELL,42245,106,530
94,BUY,42260,107,0
95,SELL,42270,107,1070
95,BUY,42280,107,0
96,SELL,42285,107,535
96,BUY,42300,107,0
97,SELL,42310,107,1070
97,BUY,42250,107,0
98,SELL,42255,107,535
98,BUY,42275,107,0
98,SELL,42790,107,55640
98,BUY,42780,106,0
98,SELL,43295,106,110230
98,BUY,43300,104,0
99,SELL,43305,104,520
99,BUY,43320,107,0
100,SELL,43330,107,1070
100,BUY,43270,107,0
101,SELL,43275,107,535
101,BUY,43290,107,0
101,SELL,43810,107,56175
101,BUY,43815,106,0
102,SELL,43820,106,530
102,BUY,43840,107,0
103,SELL,43845,107,535
103,BUY,43860,107,0
104,SELL,43870,107,1070
104,BUY,43885,107,0
105,SELL,43890,107,535
105,BUY,43905,107,0
106,SELL,43915,107,1070
106,BUY,43855,107,0
107,SELL,43860,107,535
107,BUY,43875,107,0
107,SELL,44405,107,57245
107,BUY,44400,106,0
108,SELL,44405,106,530
108,BUY,44420,107,0
109,SELL,44430,107,1070
109,BUY,44440,107,0
110,SELL,44450,107,1070
110,BUY,44465,107,0
111,SELL,44475,107,1070
111,BUY,44485,107,0
112,SELL,44495,107,1070
112,BUY,44505,107,0
112,SELL,45040,107,58315
112,BUY,45030,105,0
113,SELL,45040,105,1050
113,BUY,45055,107,0
114,SELL,45060,107,535
114,BUY,45080,107,0
114,SELL,45625,107,58850
114,BUY,45620,105,0
115,SELL,45625,105,525
115,BUY,45640,107,0
116,SELL,45650,107,1070
116,BUY,45660,107,0
117,SELL,45665,107,535
117,BUY,45610,107,0
118,SELL,45620,107,1070
118,BUY,45560,107,0
119,SELL,45565,107,535
119,BUY,45580,107,0
120,SELL,45590,107,1070
120,BUY,45530,107,0
