Days,DIV,Bought,Qty,Profit,Low,High,Gap
1,BUY,27445,36,0,27360,27445,85
4,SELL,27665,36,7920,27665,27665,0
4,BUY,27655,36,0,27655,27665,10
5,SELL,27885,36,8280,27885,27885,0
5,BUY,27850,36,0,27850,27885,35
6,SELL,27860,36,360,27675,27860,185
6,BUY,27880,36,0,27675,27880,205
