date,time,price
20210402,1530,27485
20210402,1519,27465
20210402,1518,27465
20210402,1517,27455
20210402,1516,27445
20210402,1515,27445
20210402,1514,27430
20210402,1513,27425
20210402,1512,27425
20210402,1511,27435
20210402,1510,27440
20210402,1509,27435
20210402,1508,27450
20210402,1507,27460
20210402,1506,27450
20210402,1505,27465
20210402,1504,27465
20210402,1503,27475
20210402,1502,27485
20210402,1501,27490
20210402,1500,27485
20210402,1459,27465
20210402,1458,27455
20210402,1457,27460
20210402,1456,27475
20210402,1455,27480
20210402,1454,27475
20210402,1453,27465
20210402,1452,27455
20210402,1451,27445
20210402,1450,27445
20210402,1449,27430
20210402,1448,27430
20210402,1447,27440
20210402,1446,27450
20210402,1445,27450
20210402,1444,27440
20210402,1443,27435
20210402,1442,27440
20210402,1441,27420
20210402,1440,27405
20210402,1439,27400
20210402,1438,27415
20210402,1437,27415
20210402,1436,27415
20210402,1435,27425
20210402,1434,27420
20210402,1433,27445
20210402,1432,27440
20210402,1431,27425
20210402,1430,27440
20210402,1429,27435
20210402,1428,27430
20210402,1427,27425
20210402,1426,27415
20210402,1425,27395
20210402,1424,27385
20210402,1423,27385
20210402,1422,27385
20210402,1421,27370
20210402,1420,27370
20210402,1419,27390
20210402,1418,27380
20210402,1417,27365
20210402,1416,27385
20210402,1415,27405
20210402,1414,27410
20210402,1413,27400
20210402,1412,27370
20210402,1411,27370
20210402,1410,27390
20210402,1409,27400
20210402,1408,27405
20210402,1407,27400
20210402,1406,27385
20210402,1405,27380
20210402,1404,27385
20210402,1403,27400
20210402,1402,27410
20210402,1401,27415
20210402,1400,27385
20210402,1359,27395
20210402,1358,27390
20210402,1357,27370
20210402,1356,27375
20210402,1355,27350
20210402,1354,27330
20210402,1353,27315
20210402,1352,27320
20210402,1351,27345
20210402,1350,27325
20210402,1349,27315
20210402,1348,27315
20210402,1347,27330
20210402,1346,27325
20210402,1345,27330
20210402,1344,27335
20210402,1343,27320
20210402,1342,27355
20210402,1341,27350
20210402,1340,27325
20210402,1339,27325
20210402,1338,27330
20210402,1337,27335
20210402,1336,27355
20210402,1335,27360
20210402,1334,27355
20210402,1333,27345
20210402,1332,27360
20210402,1331,27355
20210402,1330,27315
20210402,1329,27335
20210402,1328,27335
20210402,1327,27315
20210402,1326,27320
20210402,1325,27340
20210402,1324,27350
20210402,1323,27345
20210402,1322,27325
20210402,1321,27340
20210402,1320,27310
20210402,1319,27345
